                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.078,                 11.268,                 5.0379,                  1.684,                 0.4541,                0.75987,                0.49509,                0.37141,                0.42295,                 0.4375,                0.43191,                0.32498,                0.85153,                 1.3101,                 1.5538,                 1.0563,              0.0001667,              0.0001667,              0.0001667
                      2,                0.77145,                 1.0282,                0.93498,                 0.9531,                0.83449,                0.55538,                0.73111,                 0.5306,                0.96486,                0.49342,                 0.4965,                0.39481,                0.69042,                 1.0421,                  1.451,                0.94452,             0.00034834,             0.00034834,             0.00034834
                      3,                0.65138,                0.75382,                0.60349,                0.89083,                0.89215,                0.90461,                0.95262,                 0.6775,                0.59913,                0.58882,                0.56067,                0.38271,                0.75997,                  1.012,                 1.0725,                0.92646,             0.00052816,             0.00052816,             0.00052816
                      4,                0.60729,                0.67084,                 0.5229,                0.86656,                0.66659,                0.88394,                 0.7717,                0.60211,                0.59652,                0.82127,                0.65164,                0.36691,                 0.6169,                0.69959,                  1.187,                0.91142,             0.00070617,             0.00070617,             0.00070617
                      5,                0.58688,                0.58774,                0.50336,                0.87282,                0.66354,                0.90307,                0.72427,                 0.4552,                0.54701,                0.71382,                0.56134,                0.32099,                0.68803,                0.71377,                  1.164,                0.95334,             0.00088236,             0.00088236,             0.00088236
                      6,                0.57686,                0.59963,                0.47279,                   0.86,                0.87618,                0.96957,                0.96747,                0.79551,                0.87618,                0.96957,                0.95327,                0.66325,                0.55897,                0.70156,                0.51835,                0.87136,              0.0010567,              0.0010567,              0.0010567
                      7,                 0.5833,                0.58292,                 0.4486,                0.86207,                  0.948,                0.97368,                0.96073,                0.77379,                0.91332,                0.92105,                0.91075,                0.63036,                0.57662,                0.62985,                0.47254,                0.87475,              0.0012293,              0.0012293,              0.0012293
                      8,                0.60793,                0.60155,                0.47068,                 0.8668,                0.97154,                0.93187,                0.96435,                0.75113,                 0.9415,                 0.8914,                0.95016,                0.60881,                0.61821,                0.72048,                0.51155,                0.91251,                 0.0014,                 0.0014,                 0.0014
                      9,                0.56844,                0.56943,                0.45414,                0.86833,                0.84007,                0.83641,                0.84487,                0.56524,                0.84007,                0.83641,                0.80867,                0.50639,                0.61203,                0.59487,                 0.5876,                0.90349,               0.001569,               0.001569,               0.001569
                     10,                0.58711,                0.58193,                0.44945,                0.87073,                0.67118,                0.75901,                 0.7225,                0.48064,                0.62312,                0.86842,                0.67667,                0.43997,                 0.7067,                0.60468,                0.61912,                0.97182,              0.0015927,              0.0015927,              0.0015927
                     11,                0.59767,                0.56597,                0.44035,                0.87889,                0.94913,                0.99394,                 0.9913,                0.83151,                0.94913,                0.99394,                 0.9913,                 0.6606,                0.59585,                 0.6207,                0.47604,                0.88585,              0.0015927,              0.0015927,              0.0015927
                     12,                 0.5818,                0.55709,                0.42265,                0.87003,                 0.9632,                0.96214,                0.98759,                0.81668,                 0.9632,                0.96214,                0.98759,                0.77842,                0.60795,                0.56236,                0.55234,                0.88325,              0.0015845,              0.0015845,              0.0015845
                     13,                 0.5521,                0.54328,                0.39474,                0.85616,                0.95997,                0.94737,                0.97374,                0.85525,                0.95997,                0.94737,                0.97374,                0.67584,                0.53981,                0.63685,                0.44076,                0.85221,              0.0015762,              0.0015762,              0.0015762
                     14,                0.54292,                0.59861,                0.38813,                0.86089,                0.65047,                0.97063,                0.65796,                0.55839,                0.63266,                0.91808,                0.62748,                0.48986,                0.57486,                0.62935,                0.64413,                0.87452,               0.001568,               0.001568,               0.001568
                     15,                0.54419,                0.53104,                0.38217,                0.85702,                  0.741,                0.89474,                0.77779,                0.50798,                0.65738,                0.73684,                 0.6674,                0.46255,                0.65234,                0.61584,                0.50511,                0.97088,              0.0015597,              0.0015597,              0.0015597
                     16,                0.54977,                0.53974,                0.38648,                0.85774,                0.94938,                 0.9981,                0.98885,                 0.8422,                0.94938,                 0.9981,                0.98885,                0.77249,                0.51666,                0.57357,                0.38585,                0.85154,              0.0015515,              0.0015515,              0.0015515
                     17,                0.52568,                0.52278,                0.37045,                0.85585,                0.92709,                      1,                0.97583,                 0.8574,                0.92825,                0.96951,                0.97387,                0.77129,                 0.5402,                0.61391,                0.40739,                0.84838,              0.0015432,              0.0015432,              0.0015432
                     18,                0.55419,                0.54574,                0.38513,                0.85476,                0.74222,                0.97307,                0.79686,                0.68884,                0.74222,                0.97307,                0.79686,                0.62608,                0.53945,                0.59318,                0.44622,                0.86073,               0.001535,               0.001535,               0.001535
                     19,                0.53951,                0.55606,                 0.3753,                0.86091,                0.55148,                0.97368,                 0.5518,                0.49208,                0.55148,                0.97368,                 0.5518,                0.44599,                0.53742,                0.60548,                 1.1036,                0.85313,              0.0015267,              0.0015267,              0.0015267
                     20,                0.55921,                 0.5484,                0.38692,                0.85963,                0.92434,                      1,                0.97776,                0.86025,                0.92434,                      1,                0.97776,                0.75658,                0.56589,                0.68875,                0.38455,                0.84605,              0.0015185,              0.0015185,              0.0015185
                     21,                0.52868,                0.55547,                0.38044,                0.85435,                 0.9703,                      1,                  0.995,                0.88809,                 0.9703,                      1,                  0.995,                0.79378,                0.51468,                0.54582,                0.40064,                0.83687,              0.0015102,              0.0015102,              0.0015102
                     22,                0.53993,                0.55075,                0.38414,                0.85698,                0.97377,                0.99886,                  0.995,                0.90629,                0.97377,                0.99886,                  0.995,                0.78646,                0.50936,                0.57881,                0.37568,                0.83848,               0.001502,               0.001502,               0.001502
                     23,                0.49518,                0.50061,                 0.3516,                0.84388,                0.99976,                0.99565,                  0.995,                0.90312,                0.99976,                0.99565,                  0.995,                0.79539,                 0.4919,                0.53342,                0.33785,                0.83935,              0.0014937,              0.0014937,              0.0014937
                     24,                 0.5032,                0.49648,                0.34937,                0.84301,                0.99067,                0.96693,                0.99159,                0.90499,                0.96341,                0.94061,                0.96255,                0.76212,                 0.4813,                 0.5206,                0.35296,                 0.8303,              0.0014855,              0.0014855,              0.0014855
                     25,                 0.4921,                0.51751,                 0.3675,                0.84778,                 0.9882,                0.97243,                0.99262,                0.89262,                0.99811,                0.99769,                  0.995,                0.79774,                0.46901,                0.53096,                0.34859,                0.83254,              0.0014772,              0.0014772,              0.0014772
                     26,                0.48062,                0.49047,                0.35051,                0.83966,                0.92366,                0.99536,                0.98054,                0.86105,                0.92366,                0.99536,                0.98054,                0.75035,                0.48516,                0.48998,                0.34641,                0.83731,               0.001469,               0.001469,               0.001469
                     27,                0.48376,                0.50541,                0.35131,                0.84789,                0.97043,                      1,                 0.9925,                 0.9157,                0.97043,                      1,                 0.9925,                0.79581,                0.46881,                0.54738,                0.33605,                0.82617,              0.0014607,              0.0014607,              0.0014607
                     28,                0.48647,                0.50023,                0.35225,                0.83549,                 0.9725,                      1,                  0.978,                0.88405,                 0.9725,                      1,                  0.978,                0.78443,                0.49571,                 0.4952,                0.33897,                0.83984,              0.0014525,              0.0014525,              0.0014525
                     29,                0.48698,                0.48779,                0.33921,                0.84277,                0.97239,                      1,                0.97675,                0.89117,                0.97239,                      1,                0.97675,                 0.7628,                0.51781,                0.54551,                0.36697,                0.83809,              0.0014442,              0.0014442,              0.0014442
                     30,                0.48659,                0.50152,                0.33008,                0.83402,                0.97311,                0.99837,                 0.9925,                0.90944,                0.97311,                0.99837,                 0.9925,                0.79328,                 0.5029,                0.63117,                0.31993,                0.83475,               0.001436,               0.001436,               0.001436
                     31,                0.48682,                0.48017,                0.32466,                0.84096,                0.99738,                0.99876,                  0.995,                0.91886,                0.99738,                0.99876,                  0.995,                0.80285,                0.45135,                0.56336,                0.30628,                0.82325,              0.0014277,              0.0014277,              0.0014277
                     32,                0.46776,                0.47783,                0.32008,                0.84166,                0.99761,                      1,                  0.995,                0.90496,                0.99761,                      1,                  0.995,                0.80722,                0.47589,                0.54018,                0.30545,                0.82638,              0.0014195,              0.0014195,              0.0014195
                     33,                0.45941,                0.47637,                0.31523,                0.83197,                  0.994,                      1,                  0.995,                0.90345,                  0.994,                      1,                  0.995,                0.78186,                0.48129,                 0.6317,                0.32159,                0.82926,              0.0014112,              0.0014112,              0.0014112
                     34,                0.46352,                0.47685,                0.31847,                0.83515,                0.99824,                      1,                  0.995,                 0.9098,                0.99824,                      1,                  0.995,                0.79909,                0.46991,                0.60034,                 0.2942,                0.82562,              0.0014029,              0.0014029,              0.0014029
                     35,                 0.4786,                0.48066,                0.31641,                0.83337,                0.99503,                      1,                  0.995,                0.91953,                0.99503,                      1,                  0.995,                0.81346,                0.44574,                0.53547,                0.30009,                0.82033,              0.0013947,              0.0013947,              0.0013947
                     36,                0.47599,                0.47442,                0.31811,                0.83705,                0.99561,                      1,                  0.995,                0.91401,                0.99561,                      1,                  0.995,                0.82295,                0.42813,                0.48214,                0.28493,                0.81786,              0.0013864,              0.0013864,              0.0013864
                     37,                 0.4695,                0.49512,                0.31347,                0.83697,                0.99214,                      1,                  0.995,                0.90156,                0.99214,                      1,                  0.995,                0.79654,                0.49396,                0.55956,                0.31589,                0.83034,              0.0013782,              0.0013782,              0.0013782
                     38,                  0.477,                0.48925,                0.31795,                0.83709,                 0.9956,                      1,                  0.995,                0.89765,                 0.9956,                      1,                  0.995,                0.77632,                0.48395,                0.54611,                0.29471,                0.83514,              0.0013699,              0.0013699,              0.0013699
                     39,                0.46867,                0.49438,                0.31472,                 0.8424,                 0.9891,                      1,                  0.995,                0.90678,                 0.9891,                      1,                  0.995,                0.78886,                0.48804,                0.58511,                0.30055,                0.83527,              0.0013617,              0.0013617,              0.0013617
                     40,                 0.4693,                0.48712,                0.31112,                0.83985,                 0.9981,                      1,                  0.995,                  0.919,                0.97184,                0.97368,                0.96091,                0.73886,                0.47166,                0.56767,                0.29668,                  0.827,              0.0013534,              0.0013534,              0.0013534
                     41,                0.47552,                0.48296,                 0.3062,                 0.8323,                0.99337,                      1,                  0.995,                0.91281,                0.99337,                      1,                  0.995,                0.79755,                0.45767,                0.51868,                0.29907,                0.82335,              0.0013452,              0.0013452,              0.0013452
                     42,                0.45122,                0.45807,                0.29991,                0.82944,                0.97129,                      1,                 0.9925,                0.91748,                0.97129,                      1,                 0.9925,                0.80048,                0.44785,                0.53383,                0.28691,                0.81934,              0.0013369,              0.0013369,              0.0013369
                     43,                0.45617,                0.46865,                0.30494,                0.83621,                0.97305,                      1,                0.99375,                0.88683,                0.97305,                      1,                0.99375,                0.70616,                0.46177,                0.51428,                0.30732,                0.82405,              0.0013287,              0.0013287,              0.0013287
                     44,                0.44103,                0.47446,                0.30098,                0.82866,                0.99686,                0.99736,                  0.995,                0.92927,                0.99686,                0.99736,                  0.995,                0.70111,                0.44711,                0.58854,                0.29511,                0.82548,              0.0013204,              0.0013204,              0.0013204
                     45,                0.45262,                0.45714,                0.30156,                0.83558,                0.99529,                0.99707,                  0.995,                0.93103,                0.99529,                0.99707,                  0.995,                0.75288,                0.46134,                0.51753,                0.29032,                0.82159,              0.0013122,              0.0013122,              0.0013122
                     46,                0.46308,                0.47118,                0.30555,                0.83758,                0.99682,                0.99965,                  0.995,                0.91843,                0.99682,                0.99965,                  0.995,                0.79093,                0.47381,                0.65362,                 0.2915,                 0.8275,              0.0013039,              0.0013039,              0.0013039
                     47,                0.45662,                 0.4757,                0.31029,                0.83303,                0.98805,                      1,                  0.995,                0.91504,                0.98805,                      1,                  0.995,                0.82692,                 0.4729,                0.60611,                0.30069,                 0.8303,              0.0012957,              0.0012957,              0.0012957
                     48,                0.45477,                0.47169,                0.30574,                0.83356,                0.99594,                0.99975,                  0.995,                0.92638,                0.99594,                0.99975,                  0.995,                0.81933,                0.46387,                0.53953,                0.30477,                0.81809,              0.0012874,              0.0012874,              0.0012874
                     49,                0.45454,                0.46039,                0.30264,                0.83013,                 0.9937,                      1,                  0.995,                0.92941,                 0.9937,                      1,                  0.995,                0.82713,                0.44169,                0.49352,                0.29137,                0.81817,              0.0012792,              0.0012792,              0.0012792
                     50,                0.46068,                 0.4766,                0.30362,                0.83101,                0.97217,                      1,                  0.995,                0.95205,                0.97217,                      1,                  0.995,                0.82212,                0.43624,                0.49164,                0.28346,                0.80956,              0.0012709,              0.0012709,              0.0012709
                     51,                0.46526,                0.46253,                0.30231,                0.83093,                0.97197,                      1,                 0.9925,                0.93641,                0.97197,                      1,                 0.9925,                0.80849,                 0.4537,                0.48571,                 0.2929,                0.81678,              0.0012627,              0.0012627,              0.0012627
                     52,                0.45375,                0.46199,                0.30339,                0.82687,                0.98991,                0.99912,                  0.995,                0.92946,                0.98991,                0.99912,                  0.995,                0.81698,                 0.4485,                0.50013,                0.27828,                0.81748,              0.0012544,              0.0012544,              0.0012544
                     53,                0.45536,                0.45659,                0.30397,                0.83079,                0.99508,                      1,                  0.995,                0.93007,                0.99508,                      1,                  0.995,                0.80144,                0.47277,                0.54339,                0.28207,                 0.8233,              0.0012462,              0.0012462,              0.0012462
                     54,                0.43998,                0.44838,                0.29081,                 0.8298,                0.99589,                      1,                  0.995,                0.93157,                0.99589,                      1,                  0.995,                0.81577,                0.45092,                0.52549,                0.26813,                0.81357,              0.0012379,              0.0012379,              0.0012379
                     55,                0.44125,                0.44307,                0.29298,                0.82633,                0.99377,                      1,                  0.995,                0.93512,                0.99377,                      1,                  0.995,                0.83794,                0.42708,                 0.4841,                0.26919,                0.81424,              0.0012297,              0.0012297,              0.0012297
                     56,                0.43388,                0.45428,                0.28395,                0.83355,                0.99016,                      1,                  0.995,                0.93409,                0.99016,                      1,                  0.995,                0.80229,                0.45375,                0.52304,                0.29757,                0.81406,              0.0012214,              0.0012214,              0.0012214
                     57,                0.43513,                0.46538,                0.28712,                0.82473,                0.96743,                      1,                0.99375,                0.94519,                0.96743,                      1,                0.99375,                0.82968,                 0.4303,                0.47457,                0.27434,                0.81062,              0.0012132,              0.0012132,              0.0012132
                     58,                0.42838,                0.44657,                 0.2844,                0.82884,                0.98372,                      1,                  0.995,                0.92652,                0.98372,                      1,                  0.995,                0.84113,                0.44689,                0.49062,                0.27268,                0.81874,              0.0012049,              0.0012049,              0.0012049
                     59,                0.43719,                 0.4572,                0.28825,                0.83639,                0.99861,                      1,                  0.995,                0.92678,                0.99861,                      1,                  0.995,                0.82235,                0.44277,                0.48604,                0.27519,                 0.8166,              0.0011967,              0.0011967,              0.0011967
                     60,                0.43289,                 0.4667,                0.28353,                0.82864,                0.94866,                      1,                 0.9913,                 0.9211,                0.94866,                      1,                 0.9913,                 0.8221,                0.44853,                 0.5735,                0.28712,                0.82223,              0.0011884,              0.0011884,              0.0011884
                     61,                0.43877,                0.44928,                 0.2803,                0.83494,                 0.9984,                      1,                  0.995,                0.93178,                 0.9984,                      1,                  0.995,                0.81849,                0.46119,                0.58341,                0.26805,                0.81609,              0.0011802,              0.0011802,              0.0011802
                     62,                0.43901,                0.43461,                0.28635,                0.82623,                0.99839,                0.99939,                  0.995,                0.92602,                0.99839,                0.99939,                  0.995,                0.82705,                0.43813,                0.49554,                0.26885,                0.81511,              0.0011719,              0.0011719,              0.0011719
                     63,                0.43082,                0.43672,                0.28073,                0.83135,                0.99764,                      1,                  0.995,                0.94512,                0.99764,                      1,                  0.995,                0.82316,                0.44138,                 0.4915,                0.27137,                0.81496,              0.0011636,              0.0011636,              0.0011636
                     64,                 0.4276,                0.44542,                 0.2776,                0.82225,                0.99198,                      1,                  0.995,                 0.9314,                0.99198,                      1,                  0.995,                0.81827,                0.44813,                0.49944,                0.26972,                0.81865,              0.0011554,              0.0011554,              0.0011554
                     65,                0.41768,                0.43476,                0.26965,                0.81971,                0.98714,                0.99961,                  0.995,                0.93004,                0.98714,                0.99961,                  0.995,                0.83496,                0.42579,                 0.5225,                0.25769,                0.81428,              0.0011471,              0.0011471,              0.0011471
                     66,                0.42552,                0.43701,                0.27554,                0.82619,                0.98453,                0.99876,                  0.995,                0.94075,                0.98453,                0.99876,                  0.995,                0.83786,                0.45281,                0.51296,                0.27186,                0.81976,              0.0011389,              0.0011389,              0.0011389
                     67,                0.42978,                0.44322,                0.27784,                0.82983,                0.99129,                      1,                  0.995,                 0.9477,                0.99129,                      1,                  0.995,                0.84469,                0.42952,                0.49203,                0.25425,                0.81216,              0.0011306,              0.0011306,              0.0011306
                     68,                0.42402,                 0.4577,                0.27594,                0.83117,                0.99384,                      1,                  0.995,                0.93697,                0.99384,                      1,                  0.995,                0.81054,                0.45947,                0.55458,                0.26914,                0.81985,              0.0011224,              0.0011224,              0.0011224
                     69,                0.43288,                0.44086,                0.27602,                0.82334,                0.99648,                      1,                  0.995,                0.94635,                0.99648,                      1,                  0.995,                0.82758,                0.43219,                 0.5348,                0.25662,                0.81061,              0.0011141,              0.0011141,              0.0011141
                     70,                0.41597,                0.42425,                0.27185,                0.83364,                0.99789,                      1,                  0.995,                0.93421,                0.99789,                      1,                  0.995,                0.81426,                0.45284,                0.51902,                0.27205,                 0.8154,              0.0011059,              0.0011059,              0.0011059
                     71,                0.41187,                0.41764,                0.26938,                 0.8196,                0.99936,                0.99936,                  0.995,                0.95192,                0.99936,                0.99936,                  0.995,                0.82583,                0.42216,                0.49938,                0.26947,                0.80729,              0.0010976,              0.0010976,              0.0010976
                     72,                0.41094,                 0.4304,                0.26918,                 0.8241,                0.99966,                0.99228,                  0.995,                0.94159,                0.99966,                0.99228,                  0.995,                0.85104,                0.41815,                0.47874,                0.25175,                0.80943,              0.0010894,              0.0010894,              0.0010894
                     73,                0.41821,                0.43607,                0.27188,                0.81776,                0.99449,                      1,                  0.995,                0.93762,                0.99449,                      1,                  0.995,                0.82744,                0.44258,                0.51009,                0.25718,                0.81357,              0.0010811,              0.0010811,              0.0010811
                     74,                   0.41,                0.41773,                0.26363,                0.82328,                0.99598,                      1,                  0.995,                0.92355,                0.99598,                      1,                  0.995,                0.81841,                0.41939,                0.49051,                0.25513,                0.81088,              0.0010729,              0.0010729,              0.0010729
                     75,                0.41015,                0.42921,                0.26113,                0.82181,                0.99819,                      1,                  0.995,                0.94387,                0.99819,                      1,                  0.995,                0.83708,                0.40653,                0.51323,                0.24992,                0.80607,              0.0010646,              0.0010646,              0.0010646
                     76,                0.41221,                0.42513,                0.26401,                0.82432,                0.99751,                      1,                  0.995,                0.94083,                0.99751,                      1,                  0.995,                0.81486,                0.43646,                0.50527,                0.24937,                0.81042,              0.0010564,              0.0010564,              0.0010564
                     77,                0.41251,                0.43913,                  0.262,                0.82162,                0.99488,                      1,                  0.995,                0.94808,                0.99488,                      1,                  0.995,                0.83123,                0.40064,                0.47812,                0.24387,                0.80183,              0.0010481,              0.0010481,              0.0010481
                     78,                0.42138,                0.42573,                0.26445,                0.82616,                0.99673,                      1,                  0.995,                0.93255,                0.99673,                      1,                  0.995,                 0.8095,                0.41679,                0.48722,                0.25292,                 0.8108,              0.0010399,              0.0010399,              0.0010399
                     79,                0.42436,                0.43037,                0.27393,                0.82807,                 0.9962,                      1,                  0.995,                0.94525,                 0.9962,                      1,                  0.995,                0.81554,                0.41794,                0.53463,                0.25067,                0.81294,              0.0010316,              0.0010316,              0.0010316
                     80,                0.41985,                0.43781,                0.26922,                0.82658,                0.96016,                      1,                  0.995,                0.93911,                0.96016,                      1,                  0.995,                0.80872,                0.42385,                0.50838,                0.26385,                0.81248,              0.0010234,              0.0010234,              0.0010234
                     81,                0.41089,                 0.4295,                0.26645,                0.81946,                0.97216,                      1,                  0.995,                0.94007,                0.97216,                      1,                  0.995,                0.81713,                0.43128,                0.54866,                0.25973,                0.81017,              0.0010151,              0.0010151,              0.0010151
                     82,                0.42006,                0.43484,                0.26605,                0.82311,                  0.949,                      1,                0.99262,                0.93271,                0.99627,                      1,                  0.995,                0.82985,                0.43231,                0.46431,                 0.2484,                0.81211,              0.0010069,              0.0010069,              0.0010069
                     83,                 0.4083,                0.41942,                0.26337,                0.82933,                0.97344,                0.99655,                0.99375,                0.93922,                0.99746,                      1,                  0.995,                0.82138,                0.41855,                0.53889,                0.24781,                 0.8071,             0.00099862,             0.00099862,             0.00099862
                     84,                0.41553,                0.45126,                0.26546,                0.81793,                0.99822,                      1,                  0.995,                0.92945,                0.99822,                      1,                  0.995,                0.80493,                0.46958,                0.51791,                 0.2652,                0.81606,             0.00099036,             0.00099036,             0.00099036
                     85,                0.43048,                0.43673,                0.27078,                 0.8252,                0.99804,                      1,                  0.995,                0.94716,                0.99804,                      1,                  0.995,                 0.8241,                0.43378,                0.51666,                0.25059,                0.81209,             0.00098211,             0.00098211,             0.00098211
                     86,                 0.4177,                0.42739,                 0.2623,                0.82596,                0.99828,                      1,                  0.995,                0.94297,                0.99828,                      1,                  0.995,                0.82042,                0.46133,                0.53884,                0.26246,                0.82033,             0.00097386,             0.00097386,             0.00097386
                     87,                0.42086,                0.43891,                0.26769,                0.83003,                0.99719,                      1,                  0.995,                0.93867,                0.99719,                      1,                  0.995,                0.83381,                0.42026,                 0.5211,                0.25145,                0.81113,             0.00096561,             0.00096561,             0.00096561
                     88,                0.41331,                0.42538,                0.25944,                0.81976,                0.99339,                      1,                  0.995,                0.94415,                0.99339,                      1,                  0.995,                0.82637,                0.42224,                 0.5088,                0.25599,                0.81089,             0.00095736,             0.00095736,             0.00095736
                     89,                0.40368,                 0.4314,                0.25872,                0.82565,                0.99661,                      1,                  0.995,                 0.9487,                0.99661,                      1,                  0.995,                0.83076,                0.43013,                0.58719,                0.25843,                 0.8123,             0.00094911,             0.00094911,             0.00094911
                     90,                0.41482,                0.44789,                0.26064,                0.82253,                 0.9808,                0.99955,                  0.995,                0.94158,                 0.9808,                0.99955,                  0.995,                0.83345,                0.41775,                0.45248,                0.25413,                0.80974,             0.00094085,             0.00094085,             0.00094085
                     91,                0.40349,                 0.4398,                0.26213,                 0.8229,                 0.9984,                      1,                  0.995,                0.95848,                 0.9984,                      1,                  0.995,                0.82904,                0.40996,                0.51822,                0.24419,                 0.8066,              0.0009326,              0.0009326,              0.0009326
                     92,                0.41467,                0.46381,                0.25501,                0.82624,                0.99813,                      1,                  0.995,                0.95535,                0.99813,                      1,                  0.995,                0.84365,                0.40562,                0.45019,                0.24264,                0.80578,             0.00092435,             0.00092435,             0.00092435
                     93,                 0.4015,                0.41546,                0.25019,                0.81736,                0.99724,                      1,                  0.995,                0.95442,                0.99724,                      1,                  0.995,                  0.836,                0.44257,                0.55379,                0.24393,                0.81138,              0.0009161,              0.0009161,              0.0009161
                     94,                0.40391,                0.43249,                0.24866,                 0.8176,                0.99611,                      1,                  0.995,                0.93706,                0.99611,                      1,                  0.995,                0.84939,                0.41517,                0.45303,                0.23726,                0.80727,             0.00090785,             0.00090785,             0.00090785
                     95,                0.42574,                0.45022,                0.26251,                0.82809,                0.99664,                      1,                  0.995,                 0.9388,                0.99664,                      1,                  0.995,                 0.8121,                0.49789,                0.62902,                0.26075,                0.81985,              0.0008996,              0.0008996,              0.0008996
                     96,                0.41376,                0.44364,                 0.2587,                0.82122,                0.99682,                      1,                  0.995,                0.95149,                0.99682,                      1,                  0.995,                 0.8586,                0.40715,                0.45826,                0.23754,                0.80418,             0.00089134,             0.00089134,             0.00089134
                     97,                0.40363,                0.43273,                0.25266,                0.81876,                0.99665,                      1,                  0.995,                0.94651,                0.99665,                      1,                  0.995,                0.83602,                0.44103,                0.54457,                0.24372,                0.81104,             0.00088309,             0.00088309,             0.00088309
                     98,                0.40857,                0.42191,                0.25119,                0.81894,                0.99413,                      1,                  0.995,                0.94923,                0.99413,                      1,                  0.995,                0.84096,                0.40929,                0.48398,                0.23312,                0.80421,             0.00087484,             0.00087484,             0.00087484
                     99,                0.39089,                0.40808,                0.24754,                0.81652,                0.99673,                      1,                  0.995,                0.95613,                0.99673,                      1,                  0.995,                0.83968,                0.40134,                0.49883,                0.23476,                0.79975,             0.00086659,             0.00086659,             0.00086659
